track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,playlist_stream_ratio
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169.0,291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4,1.1250790357431615e-05
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291.0,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10,1.2784818541494855e-05
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199.0,82,145,65,16,"1,133",144,,Major,77,75,58,52,0,23,25,1.714341869451286e-05
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054.0,65,48,138,1,102,122,F,Major,67,49,64,10,0,10,3,5.910448771435924e-06
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420.0,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,7.765601199655053e-06
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401.0,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7,1.5066835331645842e-06
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693.0,281,137,"2,445",1,140,186,G,Major,68,49,59,16,0,13,28,1.1512632296008277e-05
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108.0,87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7,6.569700508867256e-06
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850.0,44,64,57,10,110,106,A#,Minor,72,17,64,7,0,10,5,1.2045973299329908e-05
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666.0,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3,2.406314827243868e-05
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011.0,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7,7.387267028793148e-06
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440.0,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4,3.903142625911338e-05
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666.0,250,122,"3,394",19,,123,E,Minor,45,13,54,70,0,9,4,1.0129165099759462e-05
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074.0,672,199,"3,421",20,,171,C#,Major,50,38,80,0,0,9,7,1.1852117601320583e-05
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385.0,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5,1.032815439487435e-05
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358.0,139,111,161,15,210,125,G,Minor,84,85,68,58,0,22,4,5.604228041811277e-06
S91,Karol G,1,2023,7,14,525,41,16011326.0,34,115,39,6,216,128,,Minor,86,42,72,59,0,9,19,3.278928928184961e-05
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557.0,106,112,142,4,215,130,,Minor,61,53,58,55,0,27,4,9.757154161743916e-06
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664.0,27,17,73,4,167,130,B,Major,86,59,96,50,1,9,5,6.5298370138388956e-06
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624.0,154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5,3.31587925450847e-05
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240.0,38,0,4,0,0,101,D,Major,88,72,59,62,0,9,3,4.312676754508503e-06
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728.0,82,121,182,12,171,95,F,Minor,77,53,64,74,0,17,14,1.1323578281581368e-05
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710.0,63,79,89,11,16,98,C#,Minor,90,40,59,0,0,10,29,6.879079854753354e-06
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421.0,196,2,"4,053",5,0,173,B,Major,43,28,66,0,0,23,3,1.7865623495808777e-05
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836.0,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7,9.43734732964943e-06
People,Libianca,1,2022,12,2,3506,56,373199958.0,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7,9.394427638172456e-06
Overdrive,Post Malone,1,2023,7,14,410,36,14780425.0,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4,2.773939179692059e-05
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178.0,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3,3.7394343923563133e-06
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102.0,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5,1.850142101601475e-05
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762.0,386,144,707,28,,81,B,Major,76,53,53,44,0,9,9,8.812827836325684e-06
golden hour,JVKE,1,2022,7,15,4511,36,751134527.0,70,58,109,18,230,94,C#,Minor,51,14,59,65,18,25,3,6.00558200675017e-06
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485.0,166,87,"1,056",1,,124,A#,Major,61,41,81,5,2,10,3,7.189944375882197e-06
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093.0,94,65,164,14,176,128,D,Major,62,55,78,1,3,23,4,6.2702483234249045e-06
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789.0,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3,2.1280552253546356e-05
Here With Me,d4vd,1,2022,7,17,3246,23,635412045.0,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3,5.108496172747244e-06
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890.0,216,108,331,26,154,131,D,Major,71,24,47,1,0,27,9,6.968528488845264e-06
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368.0,47,74,80,14,194,168,F#,Minor,78,58,73,5,0,10,7,6.177272687599605e-06
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627.0,12,16,18,4,93,98,C#,Major,68,40,79,33,0,30,6,8.436388954650921e-06
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673.0,300,65,"1,003",1,0,102,C#,Major,48,50,73,43,0,15,4,1.5491056951301766e-05
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848.0,60,96,71,0,115,101,A#,Major,34,32,57,78,0,20,3,4.6424417334625845e-06
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092.0,9,6,25,2,72,130,F,Major,63,36,34,76,0,35,9,6.723900914178546e-06
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929.0,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3,3.54330346362502e-06
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922.0,492,99,798,31,0,170,C#,Major,59,48,76,4,0,10,5,6.3969230609482296e-06
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238.0,80,75,110,11,323,124,G#,Minor,78,70,68,3,1,11,4,9.452977647267263e-06
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814.0,440,125,"1,800",0,,110,C#,Major,50,45,41,75,0,11,3,6.177522060505875e-06
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818.0,104,120,141,26,49,92,C#,Minor,91,43,71,9,0,9,8,6.156482296457683e-06
Makeba,Jain,1,2015,6,22,6060,53,165484133.0,150,148,"2,703",22,"1,451",116,D,Major,82,40,66,39,51,25,7,3.6619825055976816e-05
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811.0,1,52,8,0,"1,170",129,A,Major,63,84,82,70,8,9,7,1.1041289928581458e-05
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870.0,57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3,9.206738848942437e-06
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998.0,29,76,24,0,162,172,C#,Minor,74,76,76,6,0,10,9,8.451415053849704e-06
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248.0,28,89,29,5,82,150,D,Major,68,14,76,4,0,10,4,7.838429340482705e-06
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533.0,19,45,0,0,10,136,A,Minor,62,19,53,11,0,6,4,7.1164503365273015e-06
Still With You,Jung Kook,1,2020,6,5,31,39,38411956.0,2,107,8,0,0,88,C#,Minor,53,34,47,9,0,83,4,8.070403912781739e-07
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150.0,69,145,69,2,478,143,D#,Major,83,69,44,15,0,10,33,1.504511979546938e-05
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540.0,49,105,63,1,0,100,F#,Minor,49,17,35,71,9,11,3,1.5677969489730696e-05
Snooze,SZA,1,2022,12,9,2839,25,399686758.0,58,156,42,1,236,143,F,Major,56,39,55,14,0,11,13,7.103062443714986e-06
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508.0,89,143,"1,632",3,200,112,C#,Minor,56,24,66,7,0,12,3,2.0671232882672872e-05
Take Two,BTS,1,2023,6,9,674,47,118482347.0,20,106,25,4,78,93,G,Major,62,57,59,3,0,38,3,5.6886111481231885e-06
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184.0,160,110,163,0,5,206,G,Major,43,50,55,50,0,15,10,9.569213404677377e-06
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165.0,17,119,19,2,266,88,G,Minor,68,17,71,15,0,11,5,7.367314191316894e-06
Chemical,Post Malone,1,2023,4,14,2528,39,172825906.0,56,91,59,3,486,170,D,Major,50,37,90,0,0,12,5,1.4627436699217998e-05
Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043.0,49,98,"2,394",5,204,84,E,Minor,62,24,67,21,0,13,28,1.0458624640697011e-05
New Jeans,NewJeans,1,2023,7,7,77,35,29562220.0,8,166,4,4,34,134,E,Minor,81,53,72,51,0,12,5,2.6046758328704676e-06
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611.0,6,40,6,6,202,158,A#,Major,54,50,40,61,0,10,6,3.4407106252287313e-06
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506.0,384,135,"1,034",37,312,116,C#,Major,80,92,80,4,0,10,3,1.3142709895808182e-05
Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633.0,41,100,59,1,32,117,C#,Major,61,45,69,2,0,9,3,3.0644703514252683e-06
Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900.0,98,108,327,17,153,114,F,Minor,77,65,72,2,0,7,5,5.0090689443810785e-06
Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694.0,88,112,"2,163",5,519,108,D,Minor,61,47,68,0,0,13,3,1.2666498693258887e-05
